Orig,Actl_BM,Gross_gal,Enroute_gal,Alt_gal,Cont_gal,Tanker_gal,cluster,cluster_euclid,cluster_cosine
AIB,145.21619960038936,1841.3700527690953,1316.2992161483683,172.08636610482083,237.72060966237837,115.26306368154208,2,0,0
AIJ,113.38779788028455,1609.1801293052627,960.6608717297036,163.7344512714361,233.72168319555846,251.06266195909973,6,0,0
API,51.5,0.0,0.0,0.0,0.0,0.0,5,4,1
AQL,101.14875352775165,1018.7941204139204,517.3634760112888,183.86676857949215,213.57256585136506,103.99159219190969,4,3,0
AUT,125.3969925808161,1367.1594263380973,928.5206014838368,169.96098304186546,222.34409114997305,46.33099496555384,6,1,0
AVP,96.75456665371162,1209.000272055967,596.3321026039642,153.26384570540256,225.38586280606182,234.01953944811515,4,1,0
BJA,148.6046389035319,1908.2199789140736,1753.7316816025302,23.42936215076437,125.31723774380596,5.744227727991566,1,2,0
BKV,83.59670250155055,1001.3427486045053,448.5442939838743,118.1293777134587,211.51780545792838,223.14701261112188,4,3,0
BNM,51.733333333333334,0.0,0.0,0.0,0.0,0.0,5,4,1
BSI,126.71080939947781,1430.3130966057438,969.742454308094,178.49289817232426,224.04066840731036,58.035707571801595,6,1,0
BUX,107.17137379249318,1055.3576248064285,599.7599734532852,159.06364574883892,216.78413096379276,79.7496276085834,4,1,0
CNQ,101.29444009397024,1277.516523101018,640.4220830070477,190.29804228660905,213.00626468285034,233.79675019577084,4,1,0
CRS,65.22222222222223,829.2666666666667,440.55555555555554,270.5222222222222,118.23333333333332,0.0,0,3,0
CTW,82.23132568013838,946.6941814750742,484.16354772763015,170.1565969492056,187.56696021386986,104.81015883000468,4,3,0
CWP,81.28443082854291,1017.0747581838846,531.9225499982789,114.5336855874148,216.96062097690347,153.6605590169012,4,3,0
DDG,127.37856421343635,1721.771892112223,1152.0745715855323,167.73885236314683,240.752226691949,161.2045437629586,2,0,0
DKL,141.27802899799025,1898.288397215046,1305.5737869652598,172.53327950043095,250.36371303473905,169.82067183462527,2,0,0
DME,55.94651985843492,500.3224144710969,80.88202909948879,157.6371608336609,111.51616201337002,150.28604011010611,0,6,6
